rootharig;pelirrojo
Auge;ojo
Großeltern;abuelos
gutaussehend;guapo
jung;joven
blond;rubio
Eltern;padres
Foto, Bild, foto;foto
dunkelhaarig;moreno
lustig;divertido
klein;bajo
Schuh;zapato
Schnurrbart;bigote
introvertiert;introvertido
Junge;chico
grün;verde
Mädchen;chica
groß;alto
Hemd;camiseta
Ausländer;extranjero
Gast;invitado
Cousine;prima
einer von;uno de
gesellig;sociable
noch eins;otro
schon;ya
ehemaliger;ex
Du bist;eres
wie geht es dir?;cómo estás
wie heißt du?;cómo te llamas
Mitarbeiter, kollegin, Kollege;colega
Cousin;primo
Salat;lechuga
lecker;rico
fertig;listo
wie viele;cuántos
wie viele;cuántas
Zwiebel;cebolla
Knoblauch;ajo
Limone, zitrone, Zitrone;limón
Wie viel, wie viel;cuánta
Mehl;harina
halb;medio
Pfeffer;pimienta
Kilo;kilo
Hilfe;ayuda
liter, Liter;litro
scharf;picante
Öl;aceite
traditionellste, traditioneller, typischem;tradicional
Rezept, Rezepts;receta
Tortilla, Omelett;tortilla
Zutat, zutat;ingrediente
hast;tienes
in den, die, der;al
zehn;diez
fahren;manejar
Apotheke, apotheke;farmacia
Hafen;puerto
zwischen;entre
wer;quién
wird, geht's, geht;va
zu Fuß;a pie
Block;cuadra
fünf;cinco
wann;cuándo
fährt ab;sale
bald;pronto
Stunde, Zeitangabe, Zeit;hora
wie viel;cuánto
wie;cómo
Hang, Kostet, kostet;cuesta
Metro;metro
pünktlich;a tiempo
Zug, bahn, Zuges;tren
Einnahme, nähmen, aufzunehmen;tomar
Bei;al lado de
Bus;autobús
ankommen;llegar
vielen Dank;muchas gracias
freut mich;me alegro
alle;todos
entspannter, gemächliche, entspanntes;relajado
überrascht;sorprendido
wie schade;qué pena
besorgt;preocupado
traurig;triste
wenig;pocos
bewussten, Freiwillige, freiwilliger;voluntario
sind, befinden uns, sein;estamos
was für ein Glück;qué suerte
aufgeregt;emocionado
Jahrmarkt, Messe, Kirmes;feria
warum;por qué
zufrieden;contento
organisieren, Veranstaltet, gestaltete;organizar
Nervös, wettkampf, aufgeregt;nervioso
gekonnt, Fachkenntnis, Kompetenz;competencia
Du bist, Bist, bist;estás
ich auch;yo también
Ich bin, stehe, bin;estoy
Festspiele, spargelfest, festivals;festival
in Ordnung;está bien
unsere, Unsere, Unseres;nuestras
unsere, unsrigen, unserer;nuestros
Student;estudiante
Landplan, Stadtkarte, Landkarte;mapa
schön;lindo
Noten;calificación
Stift;pluma
Wörterbuch, wörterbuch, Wörterbuchs;diccionario
wahr;cierto
gebrauchen, einsetzen, benutzen;usar
Kopie;copia
was;qué
unsere, Unserer, unserer;nuestra
PC, Rechner, Computers;computadora
Radiergummi;borrador
Versicherung, sicherste, versicherung;seguro
keine Ahnung;ni idea
unsere, unserem, unserer;nuestro
kreativ, kreative, kreatives;creativo
Bleistift;lápiz
konzept, projekt, Projekt;proyecto
schnell;rápido
Ihre, seiner, eure;sus
Geschenk;regalo
Kleidung;ropa
kaufen;comprar
anzufertigen;preparar
Snack;merienda
Glas;vaso
Zimmer;cuarto
manchmal;a veces
Badezimmer;baño
auf;encima de
Tisch;mesa
Kiste;caja
Dein;tus
meine;mis
abwaschen;lavar
Teller;plato
nie;nunca
putzen;limpiar
Party;fiesta
Küche;cocina
warten Sie;espere
Lima;lima
Minute;minuto
Avocado;aguacate
mein Herr;señor
Erdbeere;fresa
Birne;pera
eine;unas
meine Dame;señora
Karotte;zanahoria
Apfel;manzana
Paprika;pimiento
Salat;ensalada
Gurke;pepino
Mittagessen;almuerzo
jetzt gerade;ahora mismo
einige;unos
auf, zu, darin;para
Banane;plátano
auf Wiedersehen;adiós
modernes;moderno
Firma;empresa
zusammen;juntos
Uni;universidad
Frau;mujer
Friseursalon;peluquería
amt;oficina
Chefin;jefa
Mann;hombre
Anwalt;abogado
fleißig;trabajador
Chef;jefe
Krankenhaus;hospital
alt;viejo
im Angebot;en oferta
lila;morado
Bluse;blusa
gelb;amarillo
Halskette;collar
hier bitte;aquí tiene
lang;largo
Schal;bufanda
weiß;blanco
wirklich;en serio
billig;barato
Rock;falda
Hemd;camisa
rot;rojo
schwarz;negro
Anzug;traje
Hut;sombrero
Tasche;bolso
Gürtel;cinturón
brauchen;necesitar
A, mit, auf;a
Strand;playa
Berg;montaña
Kilometer;kilómetro
See;lago
links;a la izquierda
bei, in der Nähe;cerca de
Informationsbüro;oficina de información
Zentrum;centro
rechts;a la derecha
Bahnhof;estación de tren
Platz;plaza
Weit von, Weit vom;lejos de
stehen, befinden sich, Sie sind;están
gegenüber von;enfrente de
ziemlich;bastante
Kino;cine                
suchen;buscar
Ausgang;salida
Taxi;taxi
Taxistand;parada de taxi
Flughafen;aeropuerto
ausgezeichnet;excelente
Nachtisch;postre
unhöflich;grosero
Ort;lugar
Stuhl;silla
bequem;cómodo
nett;simpáticos
Kellner;mesero
tomate;tomate
Essen;comida
schlecht;malo
Pizza;pizza
stammen, Sie sind, seid;son
Preis;precio
teuer;caro
Bar;bar
Frühstück;desayuno
                    Chemie;                    química
                    Mathematik;                    matemáticas
                    ein bisschen;                    un poco
                    Bibliothek, Bücherei, bibliothek;                    biblioteca
                    arbeitsauftrag, aufgabe, Auftrag;                    tarea
                    Leiter, Regisseur, Direktors;                    director
                    in einer Gruppe;                    en grupo
                    Klassenkamerad;                    compañero
